company_name,rating_class,star_5,star_4,star_3,star_2,star_1,total_reviews
Liberty First Credit Union, Excellent,93%,3%,2%,<1%,<1%,209 
Kryptominerstech, Average,100%,0%,0%,0%,0%,1 
Crypto Dispensers, Poor,45%,6%,5%,5%,39%,130 
Asicminertech, Bad,0%,0%,0%,5%,95%,22 
Evergreen Credit Union, Excellent,96%,2%,<1%,<1%,<1%,229 
Meriwest Credit Union, Average,62%,13%,0%,0%,25%,8 
WPC Merchant Services & Credit Card Processing, Average,100%,0%,0%,0%,0%,1 
NorthOne, Average,40%,8%,2%,3%,47%,123 
Coinhub Bitcoin ATM, Average,0%,0%,0%,0%,100%,2 
Heritage Valley Federal Credit Union, Great,82%,0%,9%,9%,0%,11 
The Payment HQ, Great,100%,0%,0%,0%,0%,2 
cryptobaseatm.com, Average,50%,0%,0%,0%,50%,4 
PNC Bank, Bad,5%,<1%,2%,4%,88%,905 
Asic Miners Rig, Poor,0%,0%,0%,0%,100%,6 
Swadesh, Excellent,100%,0%,0%,0%,0%,11 
Coin Cloud, Poor,13%,4%,5%,11%,67%,113 
ASDFTEST, Average,100%,0%,0%,0%,0%,1 
Cash Express, Average,36%,14%,7%,7%,36%,14 
